No;ID Postingan BBC;Teks Postingan (Caption BBC);text;Username;Tanggal Komentar
171;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";"sisanya sedang kesusahan mengantri gas dan terseok karena dana pendidikan di pangkas, bodohnya indonesia karena mereka terkungkung dalam kenestapaan tanpa berani protes, disini lah letak ""mereka"" yang sedang berjuang mewakilkan kesengsaraan itu.";callmelummm;Tue Feb 18 01:52:42 +0000 2025
172;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";sehat sehat selalu kalian yang bisa turun demo;woppawopp;Mon Feb 17 14:51:45 +0000 2025
173;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";setelah jadi ndase gak siap dikritik;Agung_Abi_Za;Tue Feb 18 02:21:16 +0000 2025
174;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";lihat tuh bos, anak anak udah pada berani demo kamu hahahahaha;gunausaha;Mon Feb 17 15:28:05 +0000 2025
175;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";hahahahaha udah pada berani demo;gunausaha;Mon Feb 17 15:18:44 +0000 2025
176;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";sudahlah simpan ego mu, jangan karena tahan malu proyek gagal, seluruh rakyat jadi kena dampaknya;fakzonwo;Tue Feb 18 03:09:19 +0000 2025
177;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";ini jangan lupa masukin;ndristic;Tue Feb 18 17:09:45 +0000 2025
178;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";admin;MrSkullMonkey;Wed Feb 19 00:37:34 +0000 2025
179;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";oalah penjilat silit mulyono toh;ardhsta;Tue Feb 18 00:42:41 +0000 2025
180;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";izin comot foto adminkuh;wargafiguran;Mon Feb 17 14:38:46 +0000 2025
181;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";dibayar berapa pak?;ardhsta;Tue Feb 18 00:41:21 +0000 2025
182;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";tetap semangat;edyibnikawhe;Tue Feb 18 05:27:04 +0000 2025
183;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";kenapa ga masuk berita yaaa;Aku_human_;Mon Feb 17 15:43:45 +0000 2025
184;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";tolong disebar luaskan dong di channel tv nya lokal maupun interrnasional , maklum tv mainstream lokal sedang mati suri kalo liput demo anti rejim;HudSuharg;Mon Feb 17 15:18:33 +0000 2025
185;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";bahasa kebodohan anak abah;Migrivata;Mon Feb 17 22:13:54 +0000 2025
186;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";top list lagu berjudul tentang pemerintah;riki_arung54113;Sat Feb 22 09:14:36 +0000 2025
187;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";ditingkat bawah baik2 saja masyarakat tenang ngga ada apa2 cuma mereka yang ditingkat atas yang ngga kebagian jatah sama kena imbas efesiensi yang protes ujung-ujungnya perut la, ini media cotsu;ism32673;Mon Feb 17 14:25:02 +0000 2025
188;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";thank youu, plss sharee banyak banyaakk di semua platform yaa;flowey_clown;Mon Feb 17 15:43:18 +0000 2025
189;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";info ibu dan anak.;terlaludewasa_;Tue Feb 18 19:17:15 +0000 2025
190;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";bring back “forum kota”;squishyblizzy;Mon Feb 17 14:39:50 +0000 2025
191;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";dan usut adili para koruptoroligarki;SupitDave33756;Mon Feb 17 17:31:03 +0000 2025
192;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";pendemonya adalah bagian dr 58% dulu mendukung sekarang di demo aneh kalian.,gak warass‍️;shotgun7777;Tue Feb 18 01:34:11 +0000 2025
193;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";omon omon kont;asinaga66;Tue Feb 18 15:03:34 +0000 2025
194;1891461241392000000;"Apa saja tuntutan mahasiswa dalam aksi #IndonesiaGelap?

Baca artikelnya:
https://t.co/TLw6JJ3nym";itu mah tulisan adminnya bukan dia;anakBetawinih;Tue Feb 18 10:44:15 +0000 2025
